data_code,2010,2011,2012,2013,2014,2015,2016,2017,2018
533,19,23813,28925,40568,51075,63024,80576,100007,123525
534,4,8122,11117,15084,23526,32606,42701,59216,78249
535,16,44307,54803,77757,103776,137523,176477,250652,276051
536,17,36261,46478,67361,99090,113353,151310,196247,225799
537,1,6319,8878,14359,27039,39242,51622,73724,98704
538,3,6690,10417,14025,23177,29932,39314,56158,64664
539,7,13838,19760,32386,49520,72114,95670,144602,188817
543,0,6448,7857,11107,16067,22865,32468,46840,59390
546,2,3996,5673,8638,12929,17201,22521,30966,38570
550,0,4213,6811,12013,18242,24123,32720,44352,63535
551,34,75422,109102,161103,226730,273718,339085,444570,525357
552,0,8573,11808,18892,21005,24504,30846,38266,42071
553,3,15963,20533,32603,42776,50493,69454,76994,96543
554,0,4267,5400,7769,9987,10784,15282,21431,24951
555,1,7483,10389,14026,21599,21524,26221,31159,39798
556,1,5547,8401,13280,18152,23390,28692,37561,47600
557,3,1613,2681,6109,9706,13392,17216,28164,33443
558,1,5111,9205,22152,33969,43784,62943,88793,106628
559,3,3321,5285,7619,10817,14621,19724,25073,32048
561,0,2319,3739,5223,7276,8656,11388,13747,18207
562,2,3908,5167,6843,7601,9281,15429,14828,17848
563,0,4503,7433,17238,20201,19788,26374,36851,47990
564,0,4039,5379,10192,15753,20732,24137,37190,56580
565,0,2231,2475,0,0,0,0,0,0
566,0,1053,1614,2970,4884,6800,8889,12259,21330
570,3,8668,12625,21082,28175,42024,40312,51628,60775
571,141,461793,646154,829469,1200126,1410727,1618082,2128138,2104885
572,12,37966,49270,68792,105563,111410,136291,202248,188092
573,32,184816,300081,371585,504792,582650,624369,861888,936378
574,173,252138,334959,401306,609814,659176,741511,1061070,998784
575,31,140941,176296,223770,279499,300017,357528,415927,468167
576,23,109700,146715,192523,276796,325500,319551,427982,567578
577,155,338635,443317,493350,552666,579109,633466,771319,722553
578,2,12463,21110,25173,38286,42225,49021,66806,64607
579,436,174484,227308,279681,342722,458424,607899,848839,620449
580,1,6129,9812,13052,19319,30077,38251,47839,55417
591,84,149562,189087,242003,291383,325539,387263,452984,508521
592,46,165670,204092,252412,324616,384829,432621,529129,606590
593,4,13946,18651,22933,29512,38632,47919,59713,58544
594,16,62990,109305,142863,210486,170883,174193,193697,156736
595,58,217302,285696,364992,554238,487304,752689,671168,655137
596,3,26844,35282,42218,51597,64275,78825,96409,158435
597,1,7990,11267,15257,20949,30824,31842,39344,50652
598,3,10360,12944,17754,20926,25835,25609,31628,33566
599,7,14999,18737,23709,30786,36160,45648,61260,63937
631,3,24980,31759,43851,64307,84590,100194,139831,165599
632,1,2867,5293,7619,13528,19174,24875,37802,46728
633,1,4701,6314,9777,14711,20002,25168,35002,44012
634,1,1951,2410,3365,5083,6182,8536,11263,13674
635,8,7029,11240,15516,21467,33063,42699,58838,78024
660,5,14903,19021,24798,36356,48184,58109,69695,80943
662,2,13206,17647,21986,36524,33871,46041,54161,55313
663,12,30706,44844,55757,72408,82580,96483,117804,140941
668,6,11329,16280,20623,30191,41678,49477,66573,71931
691,0,1004,1883,2714,5848,7061,8736,11066,14800
692,0,147,775,2618,7424,11509,18341,29687,52904
701,0,2515,4471,4424,5926,7287,10377,12544,13272
710,4,8023,11042,16954,22089,26925,34852,47420,119280
711,0,1460,2303,3042,4092,5189,26937,29850,36962
712,3,2691,4563,8363,11852,18858,34347,53923,43716
713,0,1133,2128,5257,9354,13713,20599,25983,37791
714,0,3868,5347,7902,10774,15519,17214,22304,27320
715,1,2101,2904,4616,7748,10603,14567,18101,23204
716,0,5470,6908,12314,15985,22281,34428,45254,51855
717,5,8285,11971,19302,24782,28728,38674,58524,66676
718,0,780,1219,2661,5636,7538,12981,15101,18778
719,5,6880,9450,14044,19093,28591,36176,40530,47184
722,3,2384,3544,4795,7395,8834,13103,14814,17277
724,2,2600,4070,6077,9020,12195,15669,19854,23470
728,2,3151,4832,6788,9546,12345,15676,24834,25236
730,3,4840,6703,10134,15037,19944,25947,34735,47569
731,0,0,0,0,0,0,0,0,1
7311,114,78672,104586,171874,200681,279652,397024,507675,666807
7312,6,5160,7144,9620,23488,18238,34743,33429,33601
7313,9,13271,19680,25682,34076,45188,48087,59388,68694
734,9,6165,8541,13155,18066,23160,31363,46813,62378
735,12,11599,17935,25286,28235,27162,33750,48586,61547
736,3,4829,6364,10608,16616,23579,32119,49826,45672
737,3,3404,4875,11167,9854,12025,16285,21686,27050
738,7,3873,7456,15200,24540,36147,45200,54742,61226
739,1,3966,5287,9538,12988,17904,23168,35086,42576
743,3,1418,2107,4293,7396,9804,15028,17905,20201
744,1,1286,1801,2872,4477,7482,8945,13646,13999
745,1,2639,3467,6982,12540,17053,23857,44158,41318
746,0,2265,3039,5627,10277,13180,17666,24358,31118
750,17,67968,85787,101891,136737,154317,213368,238679,234319
751,0,7377,9452,13200,18771,24174,31464,39614,53131
752,27,118057,148621,193279,235965,311715,387662,447205,469332
753,2,9169,13504,18754,26796,37189,48042,63910,78911
754,18,76177,94315,116513,155979,170847,208916,225764,249146
755,1437,1552602,1927077,2454655,3093456,3642882,4541631,5234082,5115249
756,14,57046,76590,107454,146568,158890,181097,215273,249963
757,102,256244,327816,432720,547374,585564,674346,833929,942499
758,7,22838,31426,39957,54681,78038,97792,120687,126982
759,2,18817,26437,35466,47281,64056,84616,103637,118284
760,48,135168,173403,223892,292745,310615,377697,474203,453281
762,6,11548,16030,21625,27299,34622,43109,54893,63958
763,5,12261,15834,22463,30326,40941,54434,65967,82047
766,2,4508,6854,9728,13939,18083,24159,28100,33738
768,22,28409,33276,41410,53372,61716,76333,96583,103003
769,189,563276,697658,850424,1098193,1109233,1485394,1982437,1897953
770,1,1148,3264,4507,6606,7444,10208,10481,13240
771,14,23264,41443,68855,120692,147038,207818,273606,310695
772,5,7085,11352,17760,26591,36321,52488,66329,73374
773,1,7063,11324,17105,26205,33663,43633,52181,62421
774,1,3552,6337,10845,17602,24189,28076,32463,39069
775,0,3176,6963,11852,21492,27135,36979,47556,56570
776,0,449,1095,2692,5445,8538,12572,15506,19500
777,0,1160,2463,4135,7240,9188,12294,15522,19493
778,0,155,639,1896,4088,7396,9683,11859,14184
779,0,1995,3607,6124,9984,12825,15408,20007,25895
790,8,2763,3543,4582,6112,8371,9788,13762,17321
791,23,40114,55602,74591,112875,140761,212772,284542,278262
792,3,7680,10517,14476,23162,27447,33740,48369,56188
793,0,4718,7009,10566,18786,22019,30444,46440,54853
794,2,2115,3656,4710,8534,13066,29639,45627,50511
795,2,5438,8981,13405,19714,27183,35068,46723,50348
796,4,2251,3603,6889,11687,17252,46026,64897,60377
797,1,4082,7139,12649,24526,75017,294286,481899,511545
798,2,4447,6525,7231,10191,11697,15691,26061,34911
799,2,2023,3032,3927,6013,8114,10449,13861,15863
812,2,833,1144,2127,2966,4307,6073,6806,9298
813,1,2308,3587,5467,8837,11119,12818,18743,17895
